
ROCPROFV3 SUMMARY:

|                                                                                                                                                                                                                                                                                                                              NAME                                                                                                                                                                                                                                                                                                                              |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----------------|-----------------|-----------------|---------------|-----------------|-----------------|-----------------|
| void (anonymous namespace)::marginal_energy_tiled_kernel<float>(float const*, long, long, int const*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | KERNEL_DISPATCH |               4 |          584611 |       1.462e+05 |     39.998946 |          120354 |          167020 |       2.248e+04 |
| void (anonymous namespace)::output_kernel<float, true>(float*, float const*, float*, long, long, long, int const*, float const*, float const*, int const*, float const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | KERNEL_DISPATCH |               4 |          289418 |       7.235e+04 |     19.801911 |           63304 |           87760 |       1.104e+04 |
| void (anonymous namespace)::raw_norm_kernel<float>(float const*, long, long, int const*, float const*, float const*, int const*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | KERNEL_DISPATCH |               4 |          138877 |       3.472e+04 |      9.501931 |           32755 |           36243 |       1.449e+03 |
| void (anonymous namespace)::denominator_min_kernel<float>(float const*, long, long, int const*, float const*, float const*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | KERNEL_DISPATCH |               4 |          127730 |       3.193e+04 |      8.739256 |           29507 |           34759 |       2.659e+03 |
| void (anonymous namespace)::analyze_partial_kernel<float>(float const*, long, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | KERNEL_DISPATCH |               4 |           85515 |       2.138e+04 |      5.850916 |           17319 |           23975 |       3.038e+03 |
| (anonymous namespace)::exclusion_scan_kernel(float const*, long, float*, float const*, long, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | KERNEL_DISPATCH |               4 |           80703 |       2.018e+04 |      5.521680 |           19885 |           20727 |       3.767e+02 |
| void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | KERNEL_DISPATCH |               9 |           39851 |       4.428e+03 |      2.726596 |            1764 |           14954 |       4.254e+03 |
| (anonymous namespace)::raw_norm_finalize_kernel(float const*, int, int const*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | KERNEL_DISPATCH |               4 |           34198 |       8.550e+03 |      2.339819 |            6735 |           12429 |       2.619e+03 |
| (anonymous namespace)::analyze_finalize_kernel(int const*, int, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | KERNEL_DISPATCH |               4 |           29026 |       7.256e+03 |      1.985952 |            5974 |            8299 |       9.791e+02 |
| (anonymous namespace)::denominator_finalize_kernel(int const*, int, int*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | KERNEL_DISPATCH |               4 |           27462 |       6.866e+03 |      1.878944 |            5733 |            8459 |       1.145e+03 |
| void (anonymous namespace)::elementwise_kernel_with_index_grid_stride<int, at::native::linspace_cuda_out(c10::Scalar const&, c10::Scalar const&, long, at::Tensor&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(long)#1}>(int, at::native::linspace_cuda_out(c10::Scalar const&, c10::Scalar const&, long, at::Tensor&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(long)#1}, function_traits<at::native::linspace_cuda_out(c10::Scalar const&, c10::Scalar const&, long, at::Tensor&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(long)#1}>::result_type*) | KERNEL_DISPATCH |               1 |           24175 |       2.418e+04 |      1.654048 |           24175 |           24175 |       0.000e+00 |

